iter	RMSE
0	14.55831185
1	14.11320732
2	13.65809779
3	13.23508915
4	12.84065965
5	12.49653926
6	12.15577423
7	11.78202658
8	11.49202978
9	11.15483185
10	10.83259756
11	10.55846816
12	10.27452339
13	10.03940276
14	9.784559315
15	9.543330472
16	9.307424504
17	9.088266584
18	8.916813918
19	8.709993181
20	8.52360012
21	8.341165208
22	8.174361909
23	8.002582074
24	7.843759956
25	7.701625719
26	7.5768453
27	7.438471157
28	7.323454373
29	7.205807158
30	7.085388697
31	6.98150427
32	6.875723382
33	6.781691411
34	6.687203592
35	6.595979889
36	6.508879447
37	6.426554455
38	6.360370646
39	6.287771854
40	6.220063734
41	6.157359351
42	6.09321097
43	6.029502896
44	5.971551528
45	5.916477476
46	5.866801643
47	5.822015748
48	5.773583785
49	5.734985747
50	5.695728919
51	5.657528955
52	5.619953086
53	5.579314899
54	5.551379225
55	5.522258147
56	5.492533259
57	5.466170432
58	5.440236418
59	5.414291477
60	5.387459029
61	5.356560708
62	5.33037007
63	5.307710648
64	5.284216578
65	5.256643839
66	5.234934536
67	5.214883157
68	5.191871127
69	5.176205073
70	5.154149404
71	5.133524118
72	5.111338959
73	5.092235626
74	5.0775069
75	5.058284791
76	5.046329026
77	5.034110769
78	5.01936069
79	5.000282167
80	4.98276385
81	4.972164925
82	4.966957514
83	4.952945073
84	4.941757741
85	4.935704268
86	4.927411489
87	4.917596782
88	4.904471583
89	4.892702093
90	4.881277927
91	4.873261089
92	4.862854877
93	4.850848738
94	4.840926328
95	4.832258042
96	4.823253767
97	4.814381291
98	4.803021922
99	4.793778697
