iter	Passed	Remaining
0	135	13370
1	136	6703
2	138	4475
3	140	3360
4	141	2690
5	143	2242
6	144	1922
7	146	1681
8	147	1494
9	149	1341
10	150	1218
11	152	1114
12	153	1027
13	155	952
14	156	887
15	157	827
16	159	777
17	160	731
18	161	688
19	162	651
20	164	618
21	166	589
22	167	561
23	169	536
24	170	512
25	172	491
26	174	471
27	175	452
28	177	434
29	179	418
30	180	402
31	182	387
32	184	373
33	184	358
34	186	346
35	188	334
36	189	323
37	191	312
38	192	301
39	194	291
40	196	282
41	197	273
42	199	264
43	201	255
44	202	247
45	204	240
46	206	232
47	207	225
48	209	218
49	211	211
50	212	204
51	214	198
52	216	191
53	217	185
54	219	179
55	221	173
56	222	168
57	224	162
58	226	157
59	227	151
60	229	146
61	230	141
62	232	136
63	234	131
64	236	127
65	237	122
66	239	117
67	240	113
68	242	108
69	244	104
70	245	100
71	247	96
72	249	92
73	250	88
74	252	84
75	253	80
76	255	76
77	257	72
78	258	68
79	260	65
80	261	61
81	263	57
82	264	54
83	265	50
84	267	47
85	268	43
86	270	40
87	271	37
88	273	33
89	275	30
90	276	27
91	278	24
92	280	21
93	282	18
94	283	14
95	285	11
96	287	8
97	288	5
98	290	2
99	292	0
